"property-thumbnail-summary-link href","property-thumbnail-summary-link src","btn","description","price","category","address","address 2","cac","sdb"
"https://www.centris.ca/fr/condo~a-vendre~montreal-verdun-ile-des-soeurs/16191606","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA7D60BDDDDDDDDDDD&t=pi&w=320&h=240&sm=c","26","16191606","525 000 $","Condo à vendre","760, Chemin Marie-Le Ber, app. 820","Montréal (Verdun/Île-des-Soeurs)","1","2"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/11118527","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBC618BDDDDDDDDDDB&t=pi&w=320&h=240&sm=c","48","11118527","499 900 $","Condo à vendre","1, boulevard De Maisonneuve Ouest, app. 1516","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-verdun-ile-des-soeurs/23529732","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB64DF2DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","24","23529732","487 000 $","Condo à vendre","4, Place des Jardins-des-Vosges, app. 435","Montréal (Verdun/Île-des-Soeurs)","1","1"
"https://www.centris.ca/fr/quintuplex~a-vendre~montreal-saint-laurent/25882662","https://mspublic.centris.ca/media.ashx?id=ADDD250DE402A93DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","10","25882662","1 199 999 $","Quintuplex à vendre","1254 - 1262, Rue Montpellier","Montréal (Saint-Laurent)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15979218","https://mspublic.centris.ca/media.ashx?id=ADDD250DEABA525DDDDDDDDDD2&t=pi&w=320&h=240&sm=c","15","15979218","298 000 $","Condo à vendre","65, boulevard René-Lévesque Est, app. 805","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/loft-studio~a-vendre~montreal-le-sud-ouest/16845174","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0F164ADDDDDDDDDDE&t=pi&w=320&h=240&sm=c","34","16845174","409 000 $","Loft / Studio à vendre","765, Rue Bourget, app. 533","Montréal (Le Sud-Ouest)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/25540276","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB38892DDDDDDDDDD1&t=pi&w=320&h=240&sm=c","26","25540276","329 000 $","Condo à vendre","9200, Rue Hochelaga, app. 107","Montréal (Mercier/Hochelaga-Maisonneuve)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/12867872","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB5B3A2DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","19","12867872","399 900 $","Condo à vendre","1188, Avenue Union, app. 1604","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/16832249","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF11541DDDDDDDDDD2&t=pi&w=320&h=240&sm=c","26","16832249","459 000 $","Condo à vendre","1020, Rue de la Montagne, app. 704","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-lasalle/19188485","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB39F8EDDDDDDDDDDE&t=pi&w=320&h=240&sm=c","43","19188485","349 000 $","Condo à vendre","1900, boulevard Angrignon, app. 808","Montréal (LaSalle)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15878369","https://mspublic.centris.ca/media.ashx?id=ADDD250DE097392DDDDDDDDDD2&t=pi&w=320&h=240&sm=c","33","15878369","405 000 $","Condo à vendre","1450, boulevard René-Lévesque Ouest, app. 510","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15715177","https://mspublic.centris.ca/media.ashx?id=ADDD250DC5B6B17DDDDDDDDDDA&t=pi&w=320&h=240&sm=c","39","15715177","489 000 $","Condo à vendre","1188, Rue Saint-Antoine Ouest, app. 3206","Montréal (Ville-Marie)","1","1"
